game_title, genre, platforms, release_date, developers,metascore_rating
SoulCalibur,3D|Fighting|Action,Dreamcast,Sep  8 1999,Namco,98
Super Mario Galaxy,3D|Platformer|Action,Wii,Nov 12 2007,Nintendo,97
Super Mario Galaxy 2,3D|Platformer|Action,Wii,May 23 2010,Nintendo EAD Tokyo,97
Perfect Dark,Shooter|Sci-Fi|First-Person|Action,Nintendo 64|Xbox 360,May 22 2000,Rare Ltd.,97
Metroid Prime,Shooter|Sci-Fi|First-Person|Action,GameCube,Nov 17 2002,Retro Studios,97
Super Mario Odyssey,3D|Platformer|Action,Switch,Oct 27 2017,Nintendo,97
Halo: Combat Evolved,Shooter|Sci-Fi|First-Person|Action,Xbox|PC,Nov 14 2001,Bungie Software,97
Half-Life 2,Sci-Fi|Shooter|First-Person|Action|Arcade,PC,Nov 16 2004,Valve Software,96
BioShock,Sci-Fi|Shooter|First-Person|Action|Arcade,Xbox 360|iPhone/iPad|PC|PlayStation 3,Aug 21 2007,Irrational Games| 2K Marin,96
GoldenEye 007,Shooter|Modern|First-Person|Action,Nintendo 64,Aug 25 1997,Rare Ltd.,96
World of Goo,General|Edutainment|Action|Miscellaneous|Puzzle,iOS|PC|Switch,Dec 15 2010,2D Boy,96
The Orange Box,Compilation|Sci-Fi|Shooter|First-Person|Action|Miscellaneous,Xbox 360|PC|PlayStation 3,Oct 10 2007,Valve Software,96
The Orange Box,Compilation|Sci-Fi|Shooter|First-Person|Action|Miscellaneous,PC|PlayStation 3|Xbox 360,Oct 10 2007,Valve Software,96
Tekken 3,3D|Fighting|Action,PlayStation,Apr 29 1998,Namco,96
Super QuickHook,Platformer|General|Adventure|Action|2D,iOS,Jun 17 2010,Rocketcat Games,96
Half-Life,Sci-Fi|Shooter|First-Person|Action|Arcade,PC|PlayStation 2,Nov 19 1998,Valve Software,96
BioShock,Sci-Fi|Shooter|First-Person|Action|Arcade,PC|iPhone/iPad|PlayStation 3|Xbox 360,Aug 21 2007,Irrational Games| 2K Marin,96
LittleBigPlanet,3D|Platformer|2D|Action,PlayStation 3,Oct 27 2008,SCE/WWS| Media Molecule,95
Red Dead Redemption,Shooter|Action|Action Adventure|Open-World|Historic|Third-Person,PlayStation 3|Xbox 360,May 18 2010,Rockstar San Diego,95
