game_title, genre, platforms, release_date, developers,metascore_rating
Journey,Action|Platformer|3D,PlayStation 4|PC|PlayStation 3,Jul 21 2015,Tricky Pixels,92
Celeste,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Jan 25 2018,Matt Makes Games Inc.,91
INSIDE,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Aug 23 2016,PLAYDEAD,91
Overwatch,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,May 23 2016,Blizzard Entertainment,90
Shovel Knight,Action|Platformer|2D,PlayStation 4|3DS|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Apr 21 2015,Yacht Club Games,90
Rayman Legends,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Feb 18 2014,Ubisoft Montpellier,90
Fez,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360,Mar 25 2014,Polytron Corp.,90
Rez Infinite,Shooter|Action|Rail,PlayStation 4|PC,Oct 13 2016,Q Entertainment| Monstars Inc.| Enhance Games,89
Titanfall 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Oct 28 2016,Respawn Entertainment,89
Apex Legends,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Feb  4 2019,Respawn Entertainment,89
Battlefield 1,Action|First-Person|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,Oct 18 2016,EA DICE,89
The Binding of Isaac: Rebirth,Action Adventure|Action|Shooter|Shoot-'Em-Up|Survival|Horror|Top-Down,PlayStation 4|3DS|iPhone/iPad|PC|PlayStation Vita|Wii U|Xbox One,Nov  4 2014,Nicalis,88
ZEN Pinball 2: Star Wars Rebels,Action|Pinball,PlayStation 4,Apr 28 2015,Zen Studios,88
Injustice 2: Legendary Edition,Action|2D|Fighting,PlayStation 4|PC|Xbox One,Mar 27 2018,NetherRealm Studios,88
Nex Machina: Death Machine,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4|PC,Jun 20 2017,Housemarque,88
Guacamelee! Super Turbo Championship Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Wii U|Xbox 360|Xbox One,Jul  1 2014,DrinkBox Studios,87
Injustice 2,Action|2D|Fighting,PlayStation 4|iPhone/iPad|PC|Xbox One,May 16 2017,NetherRealm Studios,87
Dead Cells,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug  7 2018,Motion Twin,87
Street Fighter V: Arcade Edition,Action|2D|Fighting,PlayStation 4|PC,Jan 16 2018,Capcom,87
Dragon Ball FighterZ,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,Jan 26 2018,Arc System Works,87
TowerFall Ascension,Action|General,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Mar 11 2014,Matt Thorson,87
Wolfenstein II: The New Colossus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Switch|Xbox One,Oct 27 2017,MachineGames,87
Sonic Mania Plus,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Jul 17 2018,Sega,87
NBA 2K16,Sim|Sports|Action|Team|General|Basketball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Sep 25 2015,Visual Concepts,87
Velocity 2X,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Sep  2 2014,FuturLab,86
Steins;Gate Elite,Action|General,PlayStation 4|PC|Switch,Feb 19 2019,5pb| Mages.,86
Guilty Gear Xrd -REVELATOR-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Jun  7 2016,Arc System Works,86
Sonic Mania,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug 15 2017,SegaSoft| Sega| PagodaWest Games,86
Beat Saber,Action|General,PlayStation 4|PC,Nov 20 2018,Hyperbolic Magnetism,86
Guilty Gear Xrd: Rev 2,Action|2D|Fighting,PlayStation 4|PlayStation 3,May 26 2017,Arc System Works,86
Resogun: Heroes,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4,Jun 24 2014,Housemarque,86
Battlefield 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Nov 12 2013,EA DICE,85
DOOM,Arcade|Third-Person|Action|First-Person|Shooter|Sci-Fi,PlayStation 4|PC|Switch|Xbox One,May 13 2016,id Software,85
SteamWorld Dig 2,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Xbox One,Sep 26 2017,Image & Form,85
Resogun: Defenders,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4,Feb 17 2015,Housemarque,85
DJMax Respect,Music|Action|Rhythm,PlayStation 4,Mar  6 2018,Rocky Studio,85
Destiny 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Sep  6 2017,Bungie,85
Assault Android Cactus,Scrolling|Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|Xbox One,Mar  8 2016,Witch Beam,85
Shantae: Half-Genie Hero - Ultimate Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,May  8 2018,WayForward,85
Rogue Legacy,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Jul 29 2014,Cellar Door Games,85
Mortal Kombat XL,Action|2D|Fighting,PlayStation 4|PC|Xbox One,Mar  1 2016,NetherRealm Studios,85
Geometry Wars 3: Dimensions,Action|Shooter|Shoot-'Em-Up|Top-Down|Static,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Nov 25 2014,Lucid Games,85
Ratchet & Clank,Action|Platformer|3D,PlayStation 4,Apr 12 2016,Insomniac Games,85
Far Cry 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 18 2014,Ubisoft Montreal,85
Super Meat Boy,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox 360,Oct  6 2015,Team Meat,85
Guilty Gear Xrd -SIGN-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Dec 16 2014,Arc System Works,84
BlazBlue: Central Fiction,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|Switch,Nov  1 2016,Arc System Works,84
Salt and Sanctuary,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Mar 15 2016,Ska Studios,84
ZEN Pinball 2: South Park: Super-Sweet Pinball,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Oct 14 2014,Zen Studios,84
Thumper,Music|Action|Rhythm,PlayStation 4|PC|Switch|Xbox One,Oct 10 2016,drool Games| Drool,84
Sound Shapes,Music Maker|Music|Action|Rhythm|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Nov 15 2013,SCEA,84
Polybius,Shooter|Action|Rail,PlayStation 4|PC,May  9 2017,Llamasoft,84
Uncharted: The Lost Legacy,Action|General,PlayStation 4,Aug 22 2017,Naughty Dog,84
SoulCalibur VI,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Oct 19 2018,Bandai Namco Games| Project Soul,84
ZEN Pinball 2: Aliens Vs. Pinball,Action|Pinball,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Apr 26 2016,Zen Studios,84
Hatsune Miku: Project Diva Future Tone - Colorful Tone,Music|Action|Rhythm,PlayStation 4,Jan 10 2017,Sega,84
Hatsune Miku: Project Diva Future Tone - Future Sound,Music|Action|Rhythm,PlayStation 4,Jan 10 2017,Sega,84
Resogun,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4|PlayStation 3|PlayStation Vita,Nov 15 2013,Housemarque| XDEV,84
BioShock: The Collection,Arcade|Compilation|Action|First-Person|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,Sep 13 2016,2K Games,84
Trine 2: Complete Story,Action|Platformer|2D,PlayStation 4|PC|Switch,Nov 15 2013,Frozenbyte| Inc.,84
Call of Duty: Black Ops 4,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Oct 12 2018,Treyarch,83
Guacamelee! 2,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug 21 2018,DrinkBox Studios,83
Prey: Mooncrash,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Jun 11 2018,Arkane Studios,83
Call of Duty: Modern Warfare Remastered,Arcade|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Nov  4 2016,Infinity Ward,83
ZEN Pinball 2: Portal Pinball,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,May 26 2015,Zen Studios,83
Yoku's Island Express,Action|Pinball,PlayStation 4|PC|Switch|Xbox One,May 29 2018,Villa Gorilla,83
Jamestown+,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,Mar 17 2015,Final Form Games| LLC,83
